forecast_date,target_month,model,yhat,pi_low,pi_high,is_oos
2025-05-01,2025-05-01,sarimax,375.12488375166066,354.5685336874757,395.68123381584564,1
2025-06-01,2025-06-01,sarimax,370.67919491840775,350.1582481203794,391.20014171643606,1
2025-07-01,2025-07-01,sarimax,330.339972219465,309.41829976384304,351.2616446750869,1
2025-08-01,2025-08-01,sarimax,286.9995164255797,265.82898359844785,308.1700492527116,1
2025-09-01,2025-09-01,sarimax,333.441793272995,311.59522069004004,355.28836585595,1
2025-10-01,2025-10-01,sarimax,389.65896600348105,367.24112294663837,412.07680906032374,1
2025-11-01,2025-11-01,sarimax,394.5216528603471,372.1405986840036,416.90270703669063,1
2025-12-01,2025-12-01,sarimax,375.1451201177223,352.7260776209716,397.564162614473,1
2026-01-01,2026-01-01,sarimax,351.0787452412078,328.57126206337347,373.58622841904213,1
2024-01-01,2024-01-01,xgboost,182.85142517089844,180.48387717292422,184.9820725079491,1
2024-02-01,2024-02-01,xgboost,179.33529663085938,177.1984222002566,181.75286203931725,1
2024-03-01,2024-03-01,xgboost,176.8726348876953,174.4282857498565,179.07661769173365,1
2024-04-01,2024-04-01,xgboost,173.98646545410156,171.63192538703157,176.3464386556271,1
2024-05-01,2024-05-01,xgboost,219.55148315429688,217.36217261987332,221.8354569007107,1
2024-06-01,2024-06-01,xgboost,213.18911743164062,211.08968528516365,215.37977455603558,1
2024-07-01,2024-07-01,xgboost,214.069580078125,211.78302030401446,216.30934663318453,1
2024-08-01,2024-08-01,xgboost,238.37904357910156,236.20952126143814,240.70554815191971,1
2024-09-01,2024-09-01,xgboost,242.07505798339844,239.79908719909858,244.3792504837182,1
2024-10-01,2024-10-01,xgboost,252.48733520507812,250.4160853281134,254.6201658874776,1
2024-11-01,2024-11-01,xgboost,251.12362670898438,248.7834614690145,253.38305689770243,1
2024-12-01,2024-12-01,xgboost,263.5353088378906,261.16840939487867,265.8495831411261,1
2025-01-01,2025-01-01,xgboost,277.46112060546875,274.97801711794887,280.14726739792593,1
2025-02-01,2025-02-01,xgboost,296.22088623046875,293.6880329300521,298.72921682606574,1
2025-03-01,2025-03-01,xgboost,386.9282531738281,384.1297391212761,389.95520324592303,1
2025-04-01,2025-04-01,xgboost,385.97412109375,383.3647060103644,388.62840610104513,1
2025-05-01,2025-05-01,xgboost,362.5024719238281,359.8751626301225,365.1377757914388,1
2025-06-01,2025-06-01,xgboost,364.8870849609375,362.09190339587985,367.5066685726768,1
2025-07-01,2025-07-01,xgboost,334.236083984375,331.2545069181764,336.74624163957077,1
2025-08-01,2025-08-01,xgboost,321.7049560546875,318.9401653745577,324.35027686379175,1
2025-09-01,2025-09-01,xgboost,327.46575927734375,324.5927188561179,330.10552212233773,1
2025-10-01,2025-10-01,xgboost,379.47552490234375,376.61475509643554,382.0888412085511,1
2025-11-01,2025-11-01,xgboost,380.0238037109375,377.05898392417214,382.7397052466351,1
2025-12-01,2025-12-01,xgboost,366.84869384765625,364.1756681790559,369.4228579598184,1
2026-01-01,2026-01-01,xgboost,367.4266052246094,364.615848999325,369.85569033893785,1
2026-01-01,2026-02-01,sarimax_future_path,346.5172684470779,324.040538972482,368.99399792167384,0
2026-01-01,2026-03-01,sarimax_future_path,347.5634995739436,325.0995837063664,370.0274154415208,0
2026-01-01,2026-04-01,sarimax_future_path,349.9912364815891,327.5641466391204,372.41832632405783,0
2026-01-01,2026-05-01,sarimax_future_path,349.5969974038268,327.2070612702216,371.986933537432,0
2026-01-01,2026-06-01,sarimax_future_path,355.8642899328486,333.51307822006817,378.215501645629,0
2026-01-01,2026-07-01,sarimax_future_path,362.3711436896547,340.0470188192216,384.69526856008775,0
2026-01-01,2026-08-01,sarimax_future_path,356.24352163675854,333.94926930676246,378.5377739667546,0
2026-01-01,2026-09-01,sarimax_future_path,348.8307048349413,326.5582032041164,371.10320646576616,0
2026-01-01,2026-10-01,sarimax_future_path,346.802497838389,324.55530615875034,369.04968951802766,0
2026-01-01,2026-11-01,sarimax_future_path,348.86583945262413,326.6565494251869,371.0751294800614,0
2026-01-01,2026-12-01,sarimax_future_path,352.8443350905809,330.67069577279085,375.01797440837095,0
2026-01-01,2027-01-01,sarimax_future_path,352.6823893066391,330.54227313807536,374.82250547520283,0
